1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.600000000000000000e+01,3.200000000000000000e+01,6.400000000000000000e+01,1.280000000000000000e+02,2.560000000000000000e+02,5.120000000000000000e+02,1.024000000000000000e+03,2.048000000000000000e+03,4.096000000000000000e+03,8.192000000000000000e+03
3.000000000000000000e+00,9.000000000000000000e+00,2.700000000000000000e+01,8.100000000000000000e+01,2.430000000000000000e+02,7.290000000000000000e+02,2.187000000000000000e+03,6.561000000000000000e+03,1.968300000000000000e+04,5.904900000000000000e+04,1.771470000000000000e+05,5.314410000000000000e+05,1.594323000000000000e+06
4.000000000000000000e+00,1.600000000000000000e+01,6.400000000000000000e+01,2.560000000000000000e+02,1.024000000000000000e+03,4.096000000000000000e+03,1.638400000000000000e+04,6.553600000000000000e+04,2.621440000000000000e+05,1.048576000000000000e+06,4.194304000000000000e+06,1.677721600000000000e+07,6.710886400000000000e+07
5.000000000000000000e+00,2.500000000000000000e+01,1.250000000000000000e+02,6.250000000000000000e+02,3.125000000000000000e+03,1.562500000000000000e+04,7.812500000000000000e+04,3.906250000000000000e+05,1.953125000000000000e+06,9.765625000000000000e+06,4.882812500000000000e+07,2.441406250000000000e+08,1.220703125000000000e+09
6.000000000000000000e+00,3.600000000000000000e+01,2.160000000000000000e+02,1.296000000000000000e+03,7.776000000000000000e+03,4.665600000000000000e+04,2.799360000000000000e+05,1.679616000000000000e+06,1.007769600000000000e+07,6.046617600000000000e+07,3.627970560000000000e+08,2.176782336000000000e+09,1.306069401600000000e+10
7.000000000000000000e+00,4.900000000000000000e+01,3.430000000000000000e+02,2.401000000000000000e+03,1.680700000000000000e+04,1.176490000000000000e+05,8.235430000000000000e+05,5.764801000000000000e+06,4.035360700000000000e+07,2.824752490000000000e+08,1.977326743000000000e+09,1.384128720100000000e+10,9.688901040700000000e+10
8.000000000000000000e+00,6.400000000000000000e+01,5.120000000000000000e+02,4.096000000000000000e+03,3.276800000000000000e+04,2.621440000000000000e+05,2.097152000000000000e+06,1.677721600000000000e+07,1.342177280000000000e+08,1.073741824000000000e+09,8.589934592000000000e+09,6.871947673600000000e+10,5.497558138880000000e+11
9.000000000000000000e+00,8.100000000000000000e+01,7.290000000000000000e+02,6.561000000000000000e+03,5.904900000000000000e+04,5.314410000000000000e+05,4.782969000000000000e+06,4.304672100000000000e+07,3.874204890000000000e+08,3.486784401000000000e+09,3.138105960900000000e+10,2.824295364810000000e+11,2.541865828329000000e+12
1.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+03,1.000000000000000000e+04,1.000000000000000000e+05,1.000000000000000000e+06,1.000000000000000000e+07,1.000000000000000000e+08,1.000000000000000000e+09,1.000000000000000000e+10,1.000000000000000000e+11,1.000000000000000000e+12,1.000000000000000000e+13
1.100000000000000000e+01,1.210000000000000000e+02,1.331000000000000000e+03,1.464100000000000000e+04,1.610510000000000000e+05,1.771561000000000000e+06,1.948717100000000000e+07,2.143588810000000000e+08,2.357947691000000000e+09,2.593742460100000000e+10,2.853116706110000000e+11,3.138428376721000000e+12,3.452271214393100000e+13
